total_watts,w_big,w_little,w_gpu,w_mem,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,temp_gpu,freq_big_cluster
3.065,0.47481,0.033012,0.096321,0.0488,0,0,0,0,49,53,52,48,47,1000000000
2.706,0.23562,0.032095,0.096515,0.03294,0,0,0,0,48,52,52,48,47,1000000000
2.706,0.23562,0.034846,0.096515,0.03294,0,0,0,0,48,52,52,48,47,1000000000
2.637,0.234685,0.034846,0.096321,0.037758,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.23375,0.033929,0.096321,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.645,0.23375,0.033929,0.096321,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.645,0.23375,0.032095,0.096321,0.03538,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.23375,0.032095,0.096321,0.0366,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.234685,0.034846,0.096321,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.234685,0.033012,0.096321,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.23375,0.033012,0.095328,0.03654,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.234685,0.033012,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.232815,0.033048,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033012,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.23375,0.033012,0.096321,0.037758,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.23375,0.034884,0.095328,0.034104,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.232815,0.032095,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.637,0.232815,0.033966,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.23375,0.033966,0.095328,0.037758,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.23375,0.033012,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.649,0.23375,0.034884,0.095328,0.031668,0,0,0,0,48,51,51,48,47,1000000000
2.649,0.23375,0.034884,0.095328,0.040194,0,0,0,0,48,51,51,48,47,1000000000
2.63,0.232815,0.033012,0.095328,0.032886,0,0,0,0,48,51,51,48,47,1000000000
2.634,0.234685,0.037597,0.095328,0.038976,0,0,0,0,48,51,51,48,47,1000000000
2.645,0.234685,0.032095,0.095328,0.038976,0,0,0,0,48,51,51,48,47,1000000000
2.645,0.232815,0.032095,0.095328,0.035322,0,0,0,0,48,51,51,48,47,1000000000
