time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1644439973.2520738,0.0,0.045,0.0,0.0,0.0,0.0,0.015,0.006999999999999999,0.006999999999999999,28.0,30.0,30.0,30.0,
1644439973.452354,0.0,0.053,0.0,0.0,0.0,0.05,0.095,0.048,0.0,28.0,30.0,30.0,30.0,
1644439973.6526284,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.105,0.0,28.0,31.0,32.0,30.0,
1644439973.8528981,0.0,0.263,0.0,0.0,0.0,0.0,0.0,0.059000000000000004,0.095,28.0,31.0,31.0,31.0,
1644439974.0531583,2.989,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,28.0,31.0,30.0,30.0,
1644439974.2534199,2.989,0.095,0.0,0.0,0.048,0.0,0.0,0.0,0.0,28.0,30.0,30.0,30.0,
1644439974.4536796,2.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,28.0,30.0,30.0,30.0,
1644439974.6539357,2.989,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,30.0,30.0,
1644439974.8542006,2.989,0.05,0.0,0.0,0.048,0.0,0.0,0.0,0.095,28.0,30.0,30.0,30.0,
1644439975.05446,2.523,0.053,0.0,0.048,0.0,0.0,0.0,0.048,0.0,28.0,30.0,30.0,30.0,
1644439975.254725,2.523,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,30.0,30.0,
1644439975.4549975,2.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,30.0,30.0,
1644439975.6552634,2.523,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,30.0,30.0,
1644439975.8555353,2.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,30.0,30.0,
1644439976.0558,2.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644439976.256064,2.47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644439976.4563346,2.47,0.095,0.0,0.0,0.05,0.3,0.048,0.35,0.05,37.0,32.0,32.0,31.0,
1644439976.6566052,2.47,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,43.0,34.0,32.0,32.0,
1644439976.856891,2.47,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,36.0,33.0,33.0,
1644439977.0571609,2.47,0.0,0.0,0.0,0.0,1.0,0.0,0.048,0.0,45.0,36.0,34.0,34.0,
1644439977.2574317,5.225,0.0,0.0,0.0,0.095,1.0,0.0,0.0,0.05,46.0,37.0,34.0,34.0,
1644439977.4576993,5.225,0.095,0.0,0.0,0.048,1.0,0.0,0.0,0.0,46.0,37.0,35.0,35.0,
1644439977.657966,5.225,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.048,47.0,38.0,35.0,35.0,
1644439977.8582408,5.225,0.0,0.0,0.0,0.048,1.0,0.0,0.0,0.05,47.0,38.0,35.0,35.0,
1644439978.0585155,5.073,0.095,0.0,0.048,0.0,1.0,0.0,0.0,0.0,47.0,38.0,36.0,35.0,
1644439978.258784,5.073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,38.0,36.0,35.0,
1644439978.4590502,5.073,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,47.0,39.0,36.0,36.0,
1644439978.6593127,5.073,0.095,0.0,0.0,0.0,1.0,0.0,0.05,0.0,48.0,39.0,36.0,36.0,
1644439978.859591,5.073,0.0,0.0,0.0,0.0,1.0,0.048,0.091,0.0,48.0,39.0,37.0,36.0,
1644439979.05986,5.073,0.0,0.0,0.048,0.0,1.0,0.0,0.0,0.0,48.0,39.0,37.0,36.0,
1644439979.2601242,5.199,0.091,0.0,0.0,0.0,1.0,0.0,0.05,0.0,48.0,39.0,37.0,36.0,
1644439979.4603996,5.199,0.0,0.0,0.0,0.0,1.0,0.0,0.091,0.0,48.0,39.0,37.0,36.0,
1644439979.6606658,5.199,0.0,0.0,0.0,0.048,1.0,0.0,0.0,0.0,48.0,39.0,37.0,36.0,
1644439979.8609457,5.199,0.095,0.0,0.0,0.0,1.0,0.048,0.0,0.0,48.0,40.0,37.0,36.0,
1644439980.0612154,5.191,0.0,0.0,0.0,0.048,1.0,0.0,0.0,0.05,48.0,40.0,37.0,36.0,
1644439980.261483,5.191,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,40.0,37.0,36.0,
1644439980.4617493,5.191,0.048,0.0,0.0,0.0,1.0,0.0,0.0,0.048,49.0,40.0,37.0,37.0,
1644439980.662009,5.191,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,40.0,37.0,37.0,
1644439980.862284,5.191,0.0,0.0,0.0,0.048,1.0,0.0,0.0,0.0,49.0,40.0,37.0,37.0,
1644439981.0625448,5.191,0.0,0.0,0.0,0.0,1.0,0.048,0.0,0.0,49.0,40.0,37.0,37.0,
1644439981.2628045,5.172,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,40.0,38.0,37.0,
1644439981.4630659,5.172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,40.0,38.0,37.0,
1644439981.6633265,5.172,0.048,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,40.0,38.0,37.0,
1644439981.8635926,5.172,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,49.0,40.0,38.0,37.0,
1644439982.0638623,5.172,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,40.0,38.0,37.0,
1644439982.264125,5.172,0.05,0.0,0.048,0.0,1.0,0.0,0.0,0.0,49.0,41.0,38.0,37.0,
1644439982.4643955,5.206,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.048,49.0,41.0,38.0,37.0,
1644439982.664658,5.206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,41.0,38.0,37.0,
1644439982.8649278,5.206,0.0,0.0,0.0,0.048,1.0,0.0,0.0,0.0,49.0,41.0,38.0,37.0,
1644439983.0651886,5.038,0.05,0.0,0.0,0.048,1.0,0.048,0.0,0.0,50.0,41.0,38.0,37.0,
1644439983.2654545,5.038,0.053,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,37.0,
1644439983.4657223,5.038,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,37.0,
1644439983.6659863,5.038,0.0,0.0,0.0,0.0,1.0,0.048,0.0,0.05,50.0,41.0,38.0,37.0,
1644439983.8662586,5.038,0.095,0.0,0.0,0.048,1.0,0.048,0.0,0.0,50.0,41.0,38.0,38.0,
1644439984.0665364,5.038,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,38.0,
1644439984.2668064,5.271,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,38.0,
1644439984.4670608,5.271,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,38.0,
1644439984.667316,5.271,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,38.0,
1644439984.8675818,5.271,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,38.0,
1644439985.067851,5.271,0.05,0.0,0.0,0.0,1.0,0.095,0.05,0.0,50.0,41.0,38.0,38.0,
1644439985.2681208,5.263,0.05,0.0,0.0,0.0,1.0,0.0,0.048,0.0,50.0,41.0,38.0,38.0,
1644439985.4683893,5.263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,39.0,38.0,
1644439985.668644,5.263,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,41.0,38.0,38.0,
1644439985.8689132,5.263,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,50.0,41.0,39.0,38.0,
1644439986.0691822,5.267,0.05,0.0,0.05,0.0,1.0,0.048,0.0,0.0,50.0,41.0,39.0,38.0,
1644439986.269445,5.267,0.05,0.0,0.0,0.0,1.0,0.05,0.0,0.0,50.0,41.0,38.0,38.0,
