time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1644444828.2709415,0.0,0.75,0.0,0.0,0.0,0.5,0.33299999999999996,0.0,0.0,32.0,32.0,31.0,31.0,
1644444828.4712334,0.0,0.053,0.1,0.05,0.05,0.05,0.095,0.0,0.048,29.0,31.0,30.0,30.0,
1644444828.67151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,30.0,30.0,
1644444828.8717794,0.0,0.091,0.0,0.0,0.0,0.048,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644444829.072046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644444829.2723162,2.42,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644444829.4725738,2.42,0.095,0.0,0.0,0.0,0.048,0.0,0.0,0.048,28.0,30.0,29.0,30.0,
1644444829.672844,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644444829.873128,2.42,0.0,0.0,0.05,0.095,0.0,0.33299999999999996,0.0,0.474,29.0,32.0,31.0,37.0,
1644444830.0734196,2.42,0.05,0.0,0.0,0.0,0.048,0.05,0.0,1.0,30.0,33.0,33.0,40.0,
1644444830.2737122,2.42,0.05,0.0,0.048,0.0,0.0,0.0,0.0,1.0,30.0,33.0,33.0,41.0,
1644444830.4740167,2.42,0.1,0.0,0.05,0.0,0.0,0.048,0.0,1.0,31.0,33.0,34.0,41.0,
1644444830.6743083,2.863,0.1,0.0,0.0,0.0,0.0,0.05,0.0,1.0,31.0,34.0,34.0,42.0,
1644444830.8746715,2.863,0.0,0.0,0.0,0.0,0.048,0.0,0.0,1.0,32.0,34.0,35.0,42.0,
1644444831.0749583,4.519,0.095,0.0,0.0,0.0,0.0,0.095,0.0,1.0,32.0,35.0,35.0,42.0,
1644444831.2752361,4.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,35.0,35.0,43.0,
1644444831.475549,4.519,0.095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,36.0,36.0,43.0,
1644444831.6758409,4.519,0.0,0.0,0.0,0.0,0.0,0.05,0.048,1.0,32.0,35.0,36.0,43.0,
1644444831.8761578,4.519,0.05,0.0,0.0,0.0,0.0,0.05,0.0,1.0,33.0,35.0,36.0,43.0,
1644444832.0764358,4.729,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,36.0,36.0,43.0,
1644444832.276725,4.729,0.05,0.048,0.0,0.0,0.05,0.0,0.0,1.0,33.0,35.0,36.0,43.0,
1644444832.4770248,4.729,0.0,0.0,0.0,0.0,0.048,0.0,0.0,1.0,33.0,36.0,36.0,43.0,
1644444832.6773143,4.729,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,36.0,36.0,44.0,
1644444832.8775969,4.729,0.05,0.0,0.048,0.0,0.048,0.05,0.0,1.0,33.0,36.0,36.0,44.0,
1644444833.077879,4.687,0.05,0.0,0.0,0.0,0.0,0.05,0.0,1.0,33.0,36.0,36.0,44.0,
1644444833.2781658,4.687,0.0,0.0,0.048,0.0,0.0,0.0,0.0,1.0,33.0,36.0,36.0,44.0,
1644444833.4784427,4.687,0.095,0.0,0.0,0.0,0.0,0.05,0.0,1.0,33.0,36.0,36.0,44.0,
1644444833.6787343,4.687,0.0,0.0,0.0,0.0,0.05,0.0,0.05,1.0,33.0,36.0,37.0,44.0,
1644444833.879046,4.687,0.05,0.0,0.0,0.0,0.0,0.05,0.0,1.0,33.0,37.0,37.0,44.0,
1644444834.0793834,4.687,0.05,0.0,0.091,0.0,0.05,0.053,0.0,1.0,34.0,37.0,37.0,44.0,
1644444834.2796774,4.687,0.05,0.048,0.0,0.0,0.0,0.0,0.0,1.0,33.0,36.0,37.0,44.0,
1644444834.4799628,4.687,0.05,0.0,0.0,0.0,0.0,0.053,0.0,1.0,34.0,36.0,37.0,44.0,
1644444834.6802552,4.687,0.0,0.0,0.05,0.0,0.0,0.0,0.048,1.0,34.0,36.0,37.0,44.0,
1644444834.8805435,4.687,0.05,0.0,0.0,0.0,0.048,0.0,0.0,1.0,34.0,37.0,37.0,44.0,
1644444835.0808978,4.676,0.095,0.0,0.048,0.0,0.05,0.0,0.0,1.0,34.0,37.0,37.0,44.0,
1644444835.281189,4.676,0.0,0.0,0.0,0.0,0.05,0.048,0.0,1.0,34.0,36.0,37.0,44.0,
1644444835.481517,4.676,0.05,0.0,0.048,0.0,0.0,0.0,0.0,1.0,34.0,37.0,37.0,44.0,
1644444835.6818073,4.676,0.05,0.0,0.0,0.0,0.05,0.095,0.0,1.0,34.0,37.0,37.0,44.0,
1644444835.8821409,4.676,0.0,0.0,0.0,0.0,0.091,0.0,0.048,1.0,34.0,37.0,37.0,44.0,
1644444836.0824292,4.664,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,37.0,37.0,44.0,
1644444836.2827628,4.664,0.05,0.0,0.0,0.0,0.0,0.05,0.05,1.0,34.0,37.0,37.0,44.0,
1644444836.4830458,4.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,37.0,37.0,44.0,
1644444836.6833847,4.664,0.05,0.0,0.0,0.0,0.0,0.05,0.0,1.0,34.0,37.0,37.0,44.0,
