time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1644445763.3950467,0.0,0.28600000000000003,0.0,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,29.0,32.0,30.0,30.0,
1644445763.5953286,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644445763.7956045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,28.0,30.0,29.0,30.0,
1644445763.9958658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644445764.1961346,2.309,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644445764.396392,2.309,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644445764.5966494,2.309,0.095,0.0,0.0,0.0,0.05,0.0,0.048,0.0,28.0,30.0,29.0,30.0,
1644445764.796923,2.309,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644445764.997241,2.309,0.095,0.0,0.0,0.0,0.0,0.048,0.0,0.095,28.0,30.0,29.0,30.0,
1644445765.1975048,2.538,0.055999999999999994,0.0,0.0,0.05,0.0,0.048,0.0,0.048,28.0,30.0,29.0,29.0,
1644445765.3977666,2.538,0.048,0.0,0.0,0.0,0.0,0.048,0.0,0.0,27.0,29.0,29.0,29.0,
1644445765.5980258,2.538,0.05,0.0,0.0,0.0,0.048,0.05,0.0,0.0,28.0,30.0,29.0,30.0,
1644445765.7982924,2.538,0.05,0.0,0.0,0.048,0.0,0.048,0.0,0.0,28.0,30.0,29.0,29.0,
1644445765.9985578,2.538,0.0,0.0,0.0,0.048,0.0,0.091,0.0,0.0,27.0,30.0,29.0,29.0,
1644445766.1988208,2.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,29.0,29.0,
1644445766.3990786,2.458,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,29.0,29.0,
1644445766.5993414,2.458,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,29.0,29.0,
1644445766.7996073,2.458,0.05,0.048,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644445766.999872,2.351,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,29.0,30.0,
1644445767.2001383,2.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,27.0,29.0,29.0,29.0,
1644445767.4004054,2.351,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,29.0,29.0,
1644445767.6006663,2.351,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,29.0,29.0,
1644445767.800934,2.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,29.0,29.0,
1644445768.0011985,2.454,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,29.0,30.0,
1644445768.2014651,2.454,0.05,0.0,0.0,0.048,0.0,0.0,0.0,0.0,28.0,30.0,29.0,29.0,
1644445768.4017212,2.454,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,28.0,29.0,29.0,29.0,
1644445768.6020074,2.454,0.05,0.0,0.048,0.048,0.0,0.0,0.048,0.0,28.0,30.0,29.0,29.0,
1644445768.8022902,2.454,0.1,0.0,0.0,0.05,0.261,0.22699999999999998,0.23800000000000002,0.5,31.0,34.0,34.0,33.0,
1644445769.0026217,2.454,0.0,0.0,0.0,0.0,0.737,0.75,0.95,0.7140000000000001,40.0,44.0,45.0,39.0,
1644445769.2029054,2.454,0.0,0.0,0.0,0.0,0.9520000000000001,0.95,0.95,0.95,45.0,50.0,50.0,44.0,
1644445769.4031956,2.454,0.05,0.0,0.0,0.05,0.75,0.8,0.85,0.8420000000000001,41.0,49.0,48.0,42.0,
1644445769.60347,5.756,0.1,0.0,0.1,0.0,0.857,0.8,0.8,0.857,47.0,53.0,52.0,46.0,
1644445769.803748,5.756,0.1,0.0,0.0,0.0,0.95,0.9470000000000001,0.9,0.905,49.0,55.0,54.0,47.0,
1644445770.004031,5.756,0.053,0.0,0.0,0.0,0.722,0.619,0.619,0.6,46.0,51.0,50.0,45.0,
1644445770.204308,5.756,0.0,0.0,0.048,0.048,1.0,0.95,0.9470000000000001,0.9470000000000001,50.0,56.0,55.0,48.0,
1644445770.4046907,5.756,0.048,0.0,0.048,0.0,1.0,0.95,0.95,0.95,52.0,58.0,57.0,49.0,
1644445770.6051552,5.756,0.105,0.05,0.158,0.0,0.727,0.667,0.632,0.6,51.0,57.0,56.0,49.0,
1644445770.8056178,5.756,0.095,0.05,0.19,0.053,1.0,0.9470000000000001,0.95,0.9470000000000001,52.0,59.0,58.0,50.0,
1644445771.006091,10.054,0.111,0.0,0.053,0.0,0.8,0.667,0.65,0.65,47.0,53.0,52.0,46.0,
1644445771.2065609,10.248,0.053,0.048,0.182,0.095,0.9,0.9470000000000001,0.905,0.9,52.0,59.0,58.0,50.0,
1644445771.4070055,10.248,0.095,0.0,0.053,0.0,0.9470000000000001,1.0,0.9470000000000001,0.95,53.0,61.0,60.0,51.0,
1644445771.6074555,10.248,0.1,0.0,0.105,0.05,0.619,0.737,0.6,0.6,51.0,59.0,58.0,50.0,
1644445771.8079445,10.248,0.055999999999999994,0.0,0.15,0.048,0.95,1.0,0.95,0.95,53.0,61.0,60.0,52.0,
1644445772.0083907,10.248,0.158,0.0,0.053,0.0,0.762,0.9,0.818,0.8,50.0,58.0,56.0,49.0,
1644445772.2088583,10.248,0.0,0.05,0.1,0.0,0.8,0.8420000000000001,0.85,0.8,53.0,61.0,59.0,51.0,
1644445772.4093177,10.432,0.182,0.0,0.1,0.0,0.95,1.0,0.9470000000000001,0.9470000000000001,54.0,63.0,61.0,53.0,
1644445772.60976,10.432,0.055999999999999994,0.0,0.055999999999999994,0.0,0.632,0.8,0.667,0.636,53.0,60.0,59.0,51.0,
1644445772.8102307,10.432,0.105,0.05,0.273,0.05,0.95,1.0,0.95,0.9520000000000001,55.0,63.0,62.0,53.0,
1644445773.010694,10.432,0.1,0.0,0.1,0.0,0.8640000000000001,0.9,0.85,0.85,51.0,60.0,58.0,51.0,
1644445773.2111518,10.432,0.0,0.0,0.053,0.0,0.7140000000000001,0.8,0.81,0.762,54.0,62.0,61.0,53.0,
