time_stamp, total_power, temps_avg,
1646083119.158641,0.0,30.25,
1646083119.3589163,0.0,30.25,
1646083119.5591812,0.0,30.0,
1646083119.7594576,0.0,30.25,
1646083119.959719,0.0,30.25,
1646083120.1599877,2.298,30.25,
1646083120.3602526,2.298,29.75,
1646083120.5605116,2.298,29.75,
1646083120.7608333,2.298,30.5,
1646083120.9611256,2.29,31.75,
1646083121.1614199,2.29,32.5,
1646083121.3617382,2.29,38.75,
1646083121.5620236,2.29,39.0,
1646083121.76234,7.389,37.5,
1646083121.9626446,7.389,36.75,
1646083122.1629388,7.389,36.0,
1646083122.3632464,7.389,36.25,
1646083122.5635436,7.389,38.75,
1646083122.7638474,7.389,37.75,
1646083122.9641476,5.004,37.5,
1646083123.1644475,5.004,37.25,
1646083123.3647442,5.004,37.75,
1646083123.5650358,5.004,37.75,
1646083123.7653413,5.004,37.0,
1646083123.9656405,5.004,37.75,
1646083124.1659305,5.004,37.75,
1646083124.366214,4.096,38.25,
1646083124.5665112,4.096,37.75,
1646083124.7668185,4.096,38.5,
1646083124.967099,4.096,37.25,
1646083125.1674056,4.096,37.5,
1646083125.3677166,4.149,37.75,
1646083125.5680265,4.149,45.0,
1646083125.7684388,6.657,47.5,
1646083125.9689786,6.657,48.0,
1646083126.1695118,6.657,49.25,
1646083126.370052,6.657,49.0,
1646083126.570778,6.657,50.75,
1646083126.7712624,6.657,50.75,
1646083126.971801,8.683,52.0,
1646083127.1723173,8.683,51.25,
1646083127.3728406,8.683,51.75,
1646083127.5733776,8.683,52.0,
1646083127.7739022,8.683,52.5,
1646083127.97442,8.683,52.5,
1646083128.1749287,8.683,53.75,
1646083128.3754468,8.076,53.5,
1646083128.5759757,8.076,53.25,
1646083128.7765093,8.076,53.75,
1646083128.9770553,8.076,54.75,
1646083129.177495,8.076,53.75,
1646083129.377914,8.111,54.5,
1646083129.57845,8.111,54.75,
1646083129.7787535,8.565,54.75,
1646083129.9790447,8.565,55.0,
1646083130.1794639,8.565,55.25,
1646083130.3799932,8.565,55.25,
1646083130.5805225,8.565,55.5,
1646083130.7810194,8.565,54.75,
1646083130.9816225,8.565,55.75,
1646083131.1820471,8.737,56.0,
1646083131.3827052,8.737,55.5,
1646083131.583402,8.737,55.25,
1646083131.7839193,8.87,56.0,
1646083131.9844205,8.87,55.25,
1646083132.1849651,8.87,56.0,
