time_stamp, total_power, temps_avg,
1646080363.312095,0.0,35.25,
1646080363.5123723,0.0,35.25,
1646080363.7126396,0.0,35.0,
1646080363.912901,2.492,35.0,
1646080364.1131704,2.492,35.0,
1646080364.3134391,2.492,35.0,
1646080364.5137196,2.492,35.0,
1646080364.7140052,2.492,36.0,
1646080364.91431,2.76,36.5,
1646080365.1146882,2.76,39.0,
1646080365.315025,2.76,45.5,
1646080365.5153334,2.76,43.0,
1646080365.7156327,2.76,42.0,
1646080365.9159274,2.76,41.5,
1646080366.1162634,6.805,41.25,
1646080366.3166447,6.805,40.5,
1646080366.5169487,6.805,39.0,
1646080366.7172747,6.805,47.25,
1646080366.9175978,6.805,51.0,
1646080367.118013,6.805,53.5,
1646080367.3185658,6.805,53.75,
1646080367.5192683,6.805,55.5,
1646080367.7197888,6.805,56.25,
1646080367.9203293,6.805,56.5,
1646080368.1208646,6.805,57.75,
1646080368.3214183,6.805,58.25,
1646080368.5219707,6.805,58.25,
1646080368.7225003,6.805,58.5,
1646080368.9230342,6.805,59.0,
1646080369.123525,6.805,59.25,
1646080369.3240395,9.321,60.0,
1646080369.52455,9.321,60.0,
1646080369.725065,9.321,60.0,
1646080369.9255853,9.321,60.25,
1646080370.126106,9.321,60.5,
1646080370.3267474,9.321,60.25,
1646080370.5273376,9.321,60.5,
1646080370.7276611,9.321,60.0,
1646080370.927972,9.321,60.25,
1646080371.1282964,9.321,61.0,
1646080371.328594,9.321,61.25,
1646080371.5290017,9.321,61.75,
1646080371.7295551,9.718,61.25,
1646080371.9299884,9.718,61.75,
1646080372.130481,9.718,61.75,
1646080372.3311045,10.004,61.5,
1646080372.531744,10.004,62.25,
1646080372.7322664,10.004,60.25,
1646080372.9328115,9.519,61.75,
1646080373.1333368,9.519,62.0,
1646080373.333859,9.519,62.75,
1646080373.5343838,9.519,62.75,
1646080373.7349045,9.519,62.75,
1646080373.9354522,9.886,62.75,
1646080374.1359785,9.886,63.5,
1646080374.3365269,9.886,62.75,
1646080374.5370631,9.886,63.75,
1646080374.7376108,9.76,63.75,
1646080374.9381297,9.76,64.0,
1646080375.1387515,9.76,64.25,
1646080375.3392801,9.76,64.0,
1646080375.5398164,9.76,63.75,
1646080375.740334,9.76,63.5,
1646080375.9408498,9.76,63.75,
1646080376.141381,9.863,64.0,
1646080376.3419251,9.863,64.5,
1646080376.545854,9.863,64.25,
1646080376.7461994,9.863,64.75,
1646080376.9467661,9.916,64.25,
1646080377.1473045,9.916,63.75,
1646080377.3478274,9.916,63.5,
1646080377.5483878,9.916,64.25,
1646080377.7489223,9.916,64.25,
1646080377.9494503,9.916,64.75,
1646080378.150032,9.916,64.25,
1646080378.350546,9.916,64.25,
1646080378.5511174,9.916,63.75,
1646080378.7516553,9.916,64.0,
1646080378.9521816,9.916,64.5,
1646080379.152722,9.466,64.75,
1646080379.3532608,9.466,65.0,
1646080379.5537992,9.466,64.75,
1646080379.7543373,9.466,64.25,
1646080379.9548662,9.584,65.0,
1646080380.1554062,9.584,65.0,
1646080380.35593,9.584,64.25,
1646080380.5564616,9.584,64.5,
1646080380.757011,9.584,65.25,
1646080380.9575605,9.535,65.75,
1646080381.1580794,9.535,66.0,
1646080381.3587198,9.535,66.25,
1646080381.5592225,9.535,65.5,
1646080381.7597642,9.535,65.0,
1646080381.9603121,9.931,64.5,
1646080382.1608272,9.931,65.5,
1646080382.3613544,9.931,65.5,
1646080382.5618758,9.931,64.75,
1646080382.762391,9.447,65.75,
1646080382.9629214,9.447,65.75,
1646080383.1634474,9.447,66.0,
1646080383.3639984,9.447,65.75,
1646080383.564568,9.447,65.0,
1646080383.765106,10.038,65.0,
1646080383.965625,10.038,65.75,
1646080384.16614,10.038,65.75,
1646080384.3668342,10.038,65.25,
1646080384.56735,10.038,65.0,
1646080384.7678726,10.023,65.75,
1646080384.968385,10.023,66.0,
1646080385.1688964,10.023,64.5,
1646080385.3694205,10.023,65.75,
1646080385.569855,10.023,64.75,
1646080385.7702835,9.435,65.5,
1646080385.970831,9.435,66.0,
1646080386.1713676,9.435,64.5,
1646080386.371888,9.435,66.0,
1646080386.5722108,9.435,65.75,
1646080386.7725217,10.08,65.75,
1646080386.972937,10.08,65.0,
1646080387.1734571,10.08,65.75,
1646080387.373975,10.08,65.25,
1646080387.5744941,10.08,65.0,
1646080387.774995,10.08,65.75,
1646080387.9755294,9.851,66.0,
1646080388.1760297,9.851,66.75,
1646080388.3765743,9.851,66.25,
1646080388.5770855,9.851,66.0,
1646080388.777614,9.989,65.75,
1646080388.978138,9.989,66.0,
1646080389.1788461,9.989,66.25,
1646080389.3793776,9.989,64.75,
1646080389.579936,9.989,66.25,
1646080389.7803648,9.989,65.75,
1646080389.9806793,9.958,66.0,
1646080390.1811228,9.958,65.0,
1646080390.3816156,9.958,65.5,
1646080390.5819385,9.958,65.5,
1646080390.7822392,9.958,66.0,
1646080390.9827955,9.958,66.25,
1646080391.183254,9.607,66.0,
1646080391.3835504,9.607,66.0,
1646080391.583961,9.607,66.0,
1646080391.7846107,9.607,66.25,
1646080391.985337,9.855,66.0,
1646080392.1859803,9.855,66.75,
1646080392.3864064,9.855,66.5,
1646080392.5868034,9.855,67.0,
1646080392.7873273,10.046,66.0,
1646080392.987854,10.046,66.75,
1646080393.188364,10.046,66.25,
1646080393.3889098,10.046,66.25,
1646080393.5894394,10.046,66.5,
1646080393.7899864,10.046,66.5,
1646080393.9905195,10.046,67.0,
1646080394.1910326,10.012,66.75,
1646080394.3915505,10.012,66.5,
1646080394.5919838,10.012,65.75,
1646080394.7924292,10.08,66.75,
1646080394.9929698,10.08,66.75,
1646080395.1934133,10.08,66.25,
1646080395.393806,10.08,66.5,
1646080395.5943577,10.08,66.75,
1646080395.794896,10.08,66.0,
1646080395.9956787,10.161,66.0,
1646080396.19622,10.161,66.25,
1646080396.3967578,10.161,66.0,
1646080396.5973608,10.161,66.0,
1646080396.7979157,9.84,66.25,
1646080396.9984448,9.84,66.25,
1646080397.1989672,9.84,67.0,
1646080397.399585,9.84,66.5,
1646080397.5999076,9.84,66.0,
1646080397.8003163,9.84,66.0,
1646080398.0008543,10.012,67.0,
1646080398.201378,10.012,67.0,
1646080398.4019208,10.012,66.5,
1646080398.6024625,10.012,67.0,
1646080398.8029714,10.012,67.0,
1646080399.003503,10.012,62.5,
1646080399.2040164,10.057,65.75,
1646080399.4045253,10.057,65.5,
1646080399.6050422,10.057,66.25,
1646080399.8055778,10.057,65.0,
1646080400.006098,9.58,66.25,
1646080400.2067316,9.58,67.0,
1646080400.407452,9.58,66.5,
1646080400.607982,9.58,66.5,
1646080400.8085086,9.901,66.0,
1646080401.0090275,9.901,66.0,
1646080401.2095768,9.901,65.5,
1646080401.4101095,9.901,66.75,
1646080401.610763,9.901,66.75,
1646080401.8111951,9.752,66.5,
1646080402.0114906,9.752,67.0,
1646080402.2117946,9.752,66.75,
1646080402.4121175,9.752,67.0,
1646080402.6124582,9.752,66.25,
1646080402.8127894,9.752,66.75,
1646080403.0132546,9.771,66.75,
1646080403.2137825,9.771,67.0,
1646080403.4143794,9.771,66.75,
1646080403.614871,9.771,67.0,
1646080403.8153014,10.18,66.5,
1646080404.0158489,10.18,67.0,
1646080404.2163892,10.18,67.5,
1646080404.4168713,10.18,66.75,
1646080404.617443,10.18,67.25,
1646080404.8179693,9.748,67.25,
1646080405.0185013,9.748,67.0,
1646080405.2190146,9.748,67.0,
1646080405.4194493,9.748,66.0,
1646080405.619762,9.748,67.0,
1646080405.8200755,9.794,67.0,
1646080406.0203955,9.794,67.25,
1646080406.2208357,9.794,67.25,
1646080406.4213572,9.794,66.75,
1646080406.6219132,9.794,67.0,
1646080406.8224638,9.794,66.5,
1646080407.0229955,10.21,67.25,
1646080407.2235243,10.21,67.0,
1646080407.424017,10.21,67.25,
1646080407.624562,10.21,67.5,
1646080407.8250916,10.145,67.5,
1646080408.0256076,10.145,66.75,
1646080408.2261336,10.145,66.75,
1646080408.4267595,10.145,67.5,
1646080408.6273036,10.145,67.0,
1646080408.8278196,9.954,67.0,
1646080409.0283473,9.954,66.75,
1646080409.2288885,9.954,67.25,
1646080409.4293253,9.954,67.25,
1646080409.6297684,9.954,66.75,
1646080409.8302872,9.954,67.0,
1646080410.0307882,10.286,67.0,
1646080410.231114,10.286,67.0,
