time_stamp, total_power, cpu_temp,
1646075543.2739825,0.0,36.476,
1646075543.4742663,4.615,37.014,
1646075543.6745925,4.615,37.552,
1646075543.8748722,4.615,37.014,
1646075544.0751734,4.615,37.552,
1646075544.2754757,4.615,36.476,
1646075544.4757485,3.943,37.014,
1646075544.6760542,3.943,37.014,
1646075544.8763742,3.943,37.552,
1646075545.0766742,3.943,37.552,
1646075545.2769763,3.943,37.552,
1646075545.47728,4.389,37.552,
1646075545.6775846,4.389,38.09,
1646075545.8778746,4.389,38.09,
1646075546.0781598,4.389,38.628,
1646075546.2784798,4.389,38.628,
1646075546.478767,4.672,38.628,
1646075546.6790814,4.672,39.166,
1646075546.8793128,4.672,39.166,
1646075547.0796015,4.672,39.704,
1646075547.2798736,4.672,39.704,
1646075547.4801812,4.672,39.704,
1646075547.6804717,5.886,40.242,
1646075547.880793,5.886,40.78,
1646075548.0810788,5.886,40.78,
1646075548.2813613,5.886,40.78,
1646075548.4816694,5.886,40.78,
1646075548.6819496,5.931,40.78,
1646075548.8822434,5.931,40.78,
1646075549.0825336,5.931,41.318,
1646075549.2828434,5.931,41.318,
1646075549.4831324,5.889,41.318,
1646075549.6834176,5.889,41.856,
1646075549.8837488,5.889,41.318,
1646075550.084047,5.889,41.856,
1646075550.2843523,5.889,41.856,
1646075550.4846563,5.863,41.856,
1646075550.6849797,5.863,42.394,
1646075550.8852592,5.863,41.856,
1646075551.085571,5.863,42.932,
1646075551.2858684,5.863,42.394,
1646075551.4861538,5.912,41.856,
1646075551.6864462,5.912,42.932,
1646075551.8867304,5.912,42.932,
1646075552.0870492,5.912,42.932,
1646075552.2873788,5.912,42.932,
1646075552.4876714,5.912,42.932,
1646075552.6879714,5.966,43.47,
1646075552.8882565,5.966,42.932,
1646075553.0886,5.966,42.932,
1646075553.2888923,5.966,42.932,
1646075553.4891798,5.912,43.47,
1646075553.6893337,5.912,42.932,
1646075553.8896072,5.912,42.932,
1646075554.0898979,5.912,43.47,
1646075554.2901819,5.912,43.47,
1646075554.4904644,5.931,43.47,
1646075554.6907742,5.931,43.47,
1646075554.8910801,5.931,43.47,
1646075555.0913682,5.931,44.008,
1646075555.2916663,5.931,44.008,
1646075555.4919617,5.924,44.008,
1646075555.6923048,5.924,42.932,
1646075555.8926058,5.924,43.47,
1646075556.0928888,5.924,44.008,
1646075556.2931702,5.924,44.008,
1646075556.4935174,5.878,44.008,
1646075556.6938272,5.878,44.008,
1646075556.8941278,5.878,44.008,
1646075557.0944233,5.878,44.008,
1646075557.294707,5.878,44.008,
1646075557.495029,5.889,44.008,
1646075557.6953318,5.889,43.47,
1646075557.895628,5.889,43.47,
1646075558.0959198,5.889,44.008,
1646075558.296224,5.889,44.008,
1646075558.4965136,5.87,44.008,
1646075558.6968238,5.87,44.546,
1646075558.8971157,5.87,44.008,
1646075559.0974078,5.87,44.008,
1646075559.2977228,5.87,44.008,
1646075559.4980097,5.92,44.008,
1646075559.6982985,5.92,44.546,
1646075559.8985841,5.92,44.008,
1646075560.098896,5.92,44.008,
1646075560.299205,5.92,44.546,
1646075560.4994786,5.901,44.546,
1646075560.6997643,5.901,44.546,
1646075560.9000416,5.901,44.546,
1646075561.1003852,5.901,44.546,
1646075561.3006773,5.901,45.084,
1646075561.5009718,5.939,45.084,
1646075561.7012515,5.939,44.008,
1646075561.9015474,5.939,45.084,
1646075562.1018343,5.939,44.008,
1646075562.3021345,5.939,45.084,
1646075562.5024219,5.924,45.084,
1646075562.7027273,5.924,44.546,
1646075562.90304,5.924,45.084,
1646075563.1033397,5.924,45.084,
1646075563.3036385,5.924,45.084,
1646075563.5039284,5.912,45.084,
1646075563.7042215,5.912,45.084,
1646075563.9045167,5.912,45.084,
1646075564.104839,5.912,45.084,
1646075564.305147,5.912,45.084,
1646075564.5054529,5.935,45.622,
1646075564.70581,5.935,45.084,
1646075564.9061337,5.935,45.084,
1646075565.1064215,5.935,45.622,
1646075565.3067358,5.935,45.622,
1646075565.5070407,5.973,45.084,
1646075565.7073605,5.973,45.084,
1646075565.9076483,5.973,45.084,
1646075566.1079519,5.973,45.084,
1646075566.3082395,5.973,45.084,
1646075566.5085442,5.924,45.084,
1646075566.708836,5.924,45.084,
1646075566.9091442,5.924,45.084,
1646075567.1093442,5.924,45.622,
1646075567.3096182,5.924,45.622,
1646075567.5098932,5.954,45.084,
1646075567.7101786,5.954,45.084,
1646075567.910452,5.954,45.084,
1646075568.1107607,5.954,45.084,
1646075568.3110628,5.954,45.622,
1646075568.5113966,5.954,45.084,
1646075568.711679,5.97,45.622,
1646075568.911983,5.97,45.622,
1646075569.1123095,5.97,45.622,
1646075569.3126023,5.97,45.084,
1646075569.512885,5.912,45.622,
1646075569.7132025,5.912,46.16,
1646075569.913504,5.912,45.622,
1646075570.1138122,5.912,45.622,
1646075570.3141282,5.912,46.16,
1646075570.5144231,5.912,45.622,
1646075570.714737,5.962,45.622,
1646075570.9150426,5.962,45.622,
1646075571.115319,5.962,46.16,
1646075571.315606,5.962,46.16,
1646075571.515946,5.928,45.622,
1646075571.7162278,5.928,46.16,
1646075571.9165256,5.928,46.16,
1646075572.1168194,5.928,46.16,
1646075572.3170915,5.928,46.16,
1646075572.5173934,5.966,45.622,
1646075572.717708,5.966,45.622,
1646075572.9180312,5.966,45.622,
1646075573.1183228,5.966,45.622,
1646075573.3186243,5.966,46.16,
1646075573.5189228,5.958,46.16,
1646075573.7192185,5.958,46.16,
1646075573.9195046,5.958,46.16,
1646075574.1197762,5.958,46.16,
1646075574.3200552,5.958,47.236,
1646075574.5203364,6.374,46.698,
1646075574.7206223,6.374,46.698,
1646075574.9209378,6.374,46.16,
1646075575.1212153,6.374,46.16,
1646075575.3215115,6.374,46.698,
1646075575.5218072,6.374,47.236,
1646075575.7220879,6.374,46.16,
1646075575.9224005,6.374,47.236,
1646075576.122698,6.374,47.236,
1646075576.3229854,6.374,47.236,
1646075576.5233097,6.374,47.236,
1646075576.7235756,6.374,47.236,
1646075576.923869,6.405,46.16,
1646075577.124153,6.405,47.236,
1646075577.3244495,6.405,46.16,
1646075577.5247545,6.42,47.774,
1646075577.725054,6.42,47.236,
1646075577.9253635,6.42,46.698,
1646075578.1256535,6.42,47.236,
1646075578.3259583,6.42,47.236,
1646075578.52625,6.37,47.236,
1646075578.7265377,6.37,47.774,
1646075578.9268317,6.37,47.236,
1646075579.12715,6.37,47.236,
