time_stamp, total_power, cpu_temp,
1646070323.8911998,0.0,37.552,
1646070324.0914948,0.0,37.014,
1646070324.2917616,0.0,37.552,
1646070324.4920325,3.935,37.552,
1646070324.6923108,3.935,37.552,
1646070324.8926096,3.935,37.552,
1646070325.092906,3.935,37.552,
1646070325.293205,3.935,37.552,
1646070325.4934723,3.916,37.552,
1646070325.6937706,3.916,37.552,
1646070325.894044,3.916,37.552,
1646070326.094343,3.916,37.552,
1646070326.2946403,3.916,37.014,
1646070326.4949093,3.916,37.014,
1646070326.6951766,3.928,37.552,
1646070326.8954842,3.928,37.552,
1646070327.0957742,3.928,37.552,
1646070327.2960732,3.928,37.552,
1646070327.49635,3.966,37.552,
1646070327.69663,3.966,37.552,
1646070327.8969302,3.966,37.552,
1646070328.0972078,3.966,37.552,
1646070328.2974768,3.966,38.09,
1646070328.4977827,3.958,37.552,
1646070328.6980917,3.958,37.552,
1646070328.89838,3.958,38.628,
1646070329.0986898,3.958,38.628,
1646070329.2989626,3.958,39.166,
1646070329.4992921,4.958,39.166,
1646070329.6996286,4.958,38.628,
1646070329.899938,4.958,39.166,
1646070330.1002343,4.958,39.166,
1646070330.3005307,4.958,39.166,
1646070330.5008512,6.061,39.704,
1646070330.7011693,6.061,39.704,
1646070330.9015155,6.061,40.242,
1646070331.1018057,6.061,40.242,
1646070331.302108,6.061,40.242,
1646070331.5023966,5.588,40.78,
1646070331.7027168,5.588,40.78,
1646070331.9030483,5.588,40.78,
1646070332.1033509,5.588,41.318,
1646070332.3036728,5.588,41.318,
1646070332.503982,5.588,40.78,
1646070332.7043056,5.588,41.318,
1646070332.9046092,5.588,41.318,
1646070333.1049013,5.588,41.856,
1646070333.3051803,5.588,42.394,
1646070333.5054588,5.588,41.318,
1646070333.7057858,5.588,41.856,
1646070333.9060805,5.615,41.856,
1646070334.1063852,5.615,41.856,
1646070334.3066921,5.615,41.856,
1646070334.5069942,6.027,41.856,
1646070334.707319,6.027,42.932,
1646070334.9076133,6.027,42.932,
1646070335.1079094,6.027,42.394,
1646070335.3082328,6.027,42.932,
1646070335.5085416,5.783,42.394,
1646070335.7088628,5.783,41.856,
1646070335.9091494,5.783,42.932,
1646070336.1093132,5.783,42.932,
1646070336.3095906,5.783,42.932,
1646070336.5098944,5.569,43.47,
1646070336.7101684,5.569,42.932,
1646070336.9104671,5.569,42.932,
1646070337.1107867,5.569,43.47,
1646070337.3110723,5.569,43.47,
1646070337.511389,5.55,44.008,
1646070337.7116916,5.55,42.932,
1646070337.9119763,5.55,43.47,
1646070338.1122968,5.55,42.932,
1646070338.3126068,5.55,43.47,
1646070338.512927,6.0,42.932,
