time_stamp, total_power, temps_avg,
1648599445.8640108,0.0,34.0,
1648599446.0642893,0.0,31.75,
1648599446.2645562,0.0,30.75,
1648599446.464818,0.0,30.75,
1648599446.6650817,2.519,30.5,
1648599446.8653476,2.519,30.5,
1648599447.0656111,2.519,30.25,
1648599447.265885,2.519,31.0,
1648599447.4661703,2.519,31.75,
1648599447.666504,2.76,33.75,
1648599447.8666687,2.76,39.25,
1648599448.0669653,2.76,38.75,
1648599448.2672744,2.76,36.75,
1648599448.467588,2.76,35.5,
1648599448.6678953,3.931,38.75,
1648599448.8681996,3.931,40.0,
1648599449.068523,3.931,41.0,
1648599449.2688518,3.931,41.5,
1648599449.4691813,3.931,42.25,
1648599449.6695275,6.286,42.75,
1648599449.8698869,6.286,43.0,
1648599450.0701938,6.286,41.0,
1648599450.270517,6.286,42.0,
1648599450.4706595,6.286,43.0,
1648599450.6709764,5.252,43.25,
1648599450.8713102,5.252,43.5,
1648599451.071638,5.252,43.5,
1648599451.2719634,5.252,43.5,
1648599451.4723117,5.252,44.0,
1648599451.672686,5.252,44.25,
1648599451.8729973,6.313,44.75,
1648599452.0733101,6.313,45.0,
1648599452.2736452,6.313,45.0,
1648599452.473969,6.313,44.75,
1648599452.674274,6.313,46.0,
1648599452.8746445,6.37,45.75,
1648599453.074951,6.37,45.25,
1648599453.275288,6.37,45.25,
1648599453.4755914,6.37,45.75,
1648599453.675895,6.206,46.0,
1648599453.876279,6.206,46.25,
1648599454.0766778,6.206,45.5,
1648599454.2769804,6.206,45.75,
1648599454.4773104,6.206,46.0,
1648599454.6776543,6.279,46.25,
1648599454.8779628,6.279,46.0,
1648599455.0783029,6.279,46.5,
1648599455.2787309,6.279,46.5,
1648599455.4790676,6.279,46.0,
1648599455.6793718,6.523,46.25,
1648599455.8796864,6.523,46.25,
1648599456.0800269,6.523,46.5,
1648599456.2803364,6.523,46.75,
1648599456.4806733,6.523,46.75,
1648599456.6809952,6.561,46.25,
1648599456.8814564,6.561,46.75,
1648599457.0821855,6.561,47.0,
1648599457.2827573,6.561,46.75,
1648599457.4832613,6.561,46.5,
1648599457.6838086,6.561,47.0,
1648599457.8843617,6.561,46.75,
1648599458.084922,6.416,46.5,
1648599458.2854352,6.416,46.5,
1648599458.4859169,6.416,46.5,
1648599458.6865,6.29,47.0,
1648599458.8872268,6.29,47.25,
1648599459.0877638,6.29,46.75,
1648599459.2882607,6.29,46.75,
1648599459.4887383,6.29,46.75,
1648599459.6892226,6.29,47.0,
1648599459.889719,6.111,46.5,
1648599460.0902095,6.111,46.5,
1648599460.2907038,6.111,46.5,
1648599460.4911985,6.111,46.75,
1648599460.691707,6.393,47.0,
1648599460.8921897,6.393,46.75,
1648599461.0926807,6.393,47.0,
1648599461.2931972,6.393,46.75,
1648599461.4936972,6.393,47.0,
1648599461.694197,6.344,46.75,
1648599461.8947222,6.344,46.75,
1648599462.0952225,6.344,47.0,
1648599462.295711,6.344,46.75,
1648599462.4962218,6.344,46.75,
1648599462.696719,6.344,47.25,
1648599462.8972201,6.344,47.5,
1648599463.097706,6.344,47.25,
1648599463.2982073,6.344,47.25,
1648599463.4987211,6.344,47.25,
1648599463.6992393,6.344,46.75,
1648599463.8997512,6.344,46.75,
1648599464.1002462,6.344,47.0,
1648599464.3007452,6.447,46.75,
1648599464.5012453,6.447,47.0,
1648599464.7017484,6.313,47.25,
1648599464.9022408,6.313,47.5,
1648599465.1027813,6.313,47.75,
1648599465.3032892,6.313,47.25,
1648599465.5037866,6.313,47.0,
1648599465.7043078,6.313,47.0,
1648599465.904802,6.458,47.25,
1648599466.1053095,6.458,47.5,
1648599466.3058085,6.458,47.25,
1648599466.5062952,6.458,47.5,
1648599466.7067902,6.458,47.5,
1648599466.9072804,6.29,47.75,
1648599467.1077623,6.29,47.75,
1648599467.308252,6.29,47.75,
1648599467.50875,6.29,47.5,
1648599467.7092512,6.26,47.75,
1648599467.9097552,6.26,47.5,
1648599468.1102564,6.26,47.5,
1648599468.3107626,6.26,47.5,
1648599468.5112777,6.26,47.75,
1648599468.71179,6.26,47.5,
1648599468.9122922,6.26,47.5,
1648599469.112799,6.26,47.75,
1648599469.3132946,6.492,47.5,
1648599469.5137818,6.492,48.0,
1648599469.7142847,6.492,47.75,
1648599469.9147892,6.447,47.5,
1648599470.115304,6.447,47.75,
1648599470.315795,6.447,47.5,
1648599470.5162866,6.447,47.75,
1648599470.7167861,6.447,47.5,
1648599470.9172804,6.378,47.75,
1648599471.1177793,6.378,48.0,
1648599471.3182855,6.378,47.5,
1648599471.5187988,6.378,47.5,
1648599471.7192898,6.378,47.5,
1648599471.9197903,6.382,47.5,
1648599472.1202831,6.382,47.75,
1648599472.3207986,6.382,47.75,
1648599472.5212927,6.382,47.75,
1648599472.7217848,6.382,48.25,
1648599472.922293,6.397,47.75,
1648599473.1227832,6.397,47.75,
1648599473.3232827,6.397,47.75,
1648599473.5237708,6.397,47.75,
1648599473.7242758,6.397,47.75,
1648599473.9247854,6.428,47.75,
1648599474.1253216,6.428,48.0,
1648599474.3258255,6.428,48.25,
1648599474.5263274,6.428,48.0,
1648599474.7268367,6.428,47.5,
1648599474.9273427,6.512,47.5,
1648599475.1278315,6.512,48.0,
1648599475.3283257,6.512,48.0,
1648599475.5288186,6.512,51.25,
1648599475.7293348,6.382,49.0,
1648599475.929831,6.382,48.5,
1648599476.1303306,6.382,48.5,
1648599476.330836,6.382,48.25,
1648599476.5313263,6.382,48.25,
1648599476.7318316,6.34,47.75,
1648599476.9323118,6.34,48.25,
1648599477.1327975,6.34,48.0,
1648599477.333277,6.34,47.75,
1648599477.5338097,6.34,48.25,
1648599477.734299,6.267,48.5,
1648599477.9347825,6.267,48.5,
1648599478.1352663,6.267,48.25,
1648599478.3357563,6.267,48.0,
1648599478.5362456,6.267,48.0,
1648599478.736732,6.431,48.0,
1648599478.9373622,6.431,48.0,
1648599479.1378617,6.431,48.0,
1648599479.338353,6.431,48.0,
1648599479.538834,6.431,48.25,
1648599479.7393415,6.794,48.25,
1648599479.9398668,6.794,48.5,
1648599480.1403606,6.794,48.5,
1648599480.3408575,6.794,48.5,
1648599480.5413468,6.794,49.0,
1648599480.741843,6.794,48.5,
1648599480.9423375,6.405,48.5,
1648599481.1428366,6.405,48.0,
1648599481.343341,6.405,47.75,
1648599481.5438468,6.405,48.0,
1648599481.7443597,6.405,48.25,
1648599481.9448752,6.21,48.5,
1648599482.1453936,6.21,48.5,
1648599482.345937,6.21,48.25,
1648599482.5464313,6.21,48.5,
1648599482.746941,6.504,48.5,
1648599482.9474363,6.504,48.75,
1648599483.1479397,6.504,48.0,
1648599483.348592,6.504,48.5,
1648599483.549098,6.504,48.25,
1648599483.7496116,6.504,48.5,
1648599483.950115,6.504,48.5,
1648599484.1507435,6.504,47.75,
1648599484.3512325,6.504,48.75,
1648599484.5517292,6.504,48.5,
1648599484.7522504,6.447,48.5,
1648599484.9527955,6.447,48.5,
1648599485.1532953,6.447,48.25,
1648599485.3538067,6.447,48.25,
1648599485.5542934,6.447,48.25,
1648599485.7548084,6.367,48.5,
1648599485.9553127,6.367,48.75,
1648599486.1558073,6.367,48.25,
1648599486.356302,6.367,48.75,
1648599486.556801,6.367,48.75,
1648599486.7573185,6.481,48.5,
1648599486.9578128,6.481,48.25,
1648599487.1583166,6.481,48.5,
1648599487.3588178,6.481,48.5,
1648599487.5593405,6.481,48.5,
1648599487.7598288,6.481,48.5,
1648599487.9603455,6.451,49.0,
1648599488.1608336,6.451,48.75,
1648599488.3613214,6.451,48.5,
1648599488.5618205,6.451,48.5,
1648599488.7623074,6.451,48.75,
1648599488.9628234,6.382,48.5,
1648599489.1633139,6.382,48.5,
1648599489.3638146,6.382,48.75,
1648599489.5643053,6.382,48.5,
1648599489.7648134,6.355,48.75,
1648599489.9653354,6.355,48.75,
1648599490.165835,6.355,48.5,
1648599490.3663294,6.355,48.5,
1648599490.566829,6.355,48.5,
1648599490.7673426,6.355,48.5,
1648599490.967841,6.439,48.75,
1648599491.1683378,6.439,48.5,
1648599491.3688302,6.439,48.5,
1648599491.569332,6.439,48.75,
1648599491.7698374,6.294,48.5,
1648599491.9703367,6.294,48.25,
1648599492.170847,6.294,48.5,
1648599492.3713443,6.294,48.25,
1648599492.571848,6.294,48.5,
1648599492.7723687,6.409,48.75,
1648599492.9730113,6.409,49.0,
1648599493.173506,6.409,51.75,
1648599493.3739853,6.409,50.0,
1648599493.5744832,6.409,49.75,
1648599493.7749946,7.554,48.75,
1648599493.9755003,7.554,48.75,
1648599494.1760037,7.554,48.75,
1648599494.3764958,7.554,48.75,
1648599494.577002,7.554,48.75,
1648599494.7775059,6.359,49.25,
1648599494.9779973,6.359,49.25,
1648599495.1784875,6.359,49.25,
1648599495.3789892,6.359,49.0,
1648599495.579487,6.359,48.75,
1648599495.7799904,6.359,48.5,
1648599495.9804916,6.542,48.5,
1648599496.1809847,6.542,48.5,
1648599496.381488,6.542,49.0,
1648599496.581993,6.542,49.0,
1648599496.7824917,6.199,49.5,
1648599496.9829793,6.199,49.25,
1648599497.183464,6.199,48.75,
1648599497.383967,6.199,48.5,
1648599497.5844607,6.199,48.75,
1648599497.7849743,6.359,48.5,
1648599497.9854798,6.359,48.75,
1648599498.1859813,6.359,48.5,
1648599498.3864899,6.359,48.75,
1648599498.5869849,6.359,49.25,
1648599498.787481,6.359,49.0,
1648599498.9879868,6.386,48.75,
1648599499.1884885,6.386,48.5,
1648599499.3889918,6.386,48.5,
1648599499.5895243,6.298,49.0,
