time_stamp, total_power, temps_avg,
1648582501.050831,0.0,30.5,
1648582501.2511024,0.0,30.5,
1648582501.451363,0.0,30.5,
1648582501.65162,0.0,30.5,
1648582501.8518972,2.282,30.5,
1648582502.0521607,2.282,30.5,
1648582502.252424,2.282,30.5,
1648582502.452693,2.282,30.5,
1648582502.6529567,2.282,30.5,
1648582502.8532438,2.47,30.5,
1648582503.0535595,2.47,32.0,
1648582503.2538471,2.47,32.75,
1648582503.4541621,2.47,37.5,
1648582503.654461,2.47,41.5,
1648582503.8547533,6.325,39.25,
1648582504.0550594,6.325,37.0,
1648582504.2553735,6.325,35.75,
1648582504.4556828,6.325,36.25,
1648582504.6559985,4.164,36.75,
1648582504.8563201,4.164,38.5,
1648582505.056645,4.164,43.25,
1648582505.256986,4.164,43.75,
1648582505.457301,4.164,44.5,
1648582505.6576347,4.164,45.25,
1648582505.8579688,7.382,45.75,
1648582506.0584018,7.382,46.5,
1648582506.2588944,7.382,46.5,
1648582506.459376,7.382,47.0,
1648582506.6598625,7.382,47.25,
1648582506.8605542,7.462,47.25,
1648582507.0610332,7.462,47.5,
1648582507.2614827,7.462,48.25,
1648582507.461823,7.462,48.5,
1648582507.6621313,7.462,48.25,
1648582507.8624504,7.5,48.0,
1648582508.0628107,7.5,49.0,
1648582508.2633162,7.5,48.75,
1648582508.463888,7.5,48.75,
1648582508.6643984,7.5,49.0,
1648582508.8649406,7.473,49.75,
1648582509.0654283,7.473,49.5,
1648582509.2659314,7.473,49.0,
1648582509.466454,7.473,49.25,
1648582509.6668892,7.473,49.75,
1648582509.8674927,7.473,49.75,
1648582510.0680194,7.645,50.0,
1648582510.2685175,7.645,49.5,
1648582510.4691114,7.645,49.5,
1648582510.6696308,7.645,50.0,
1648582510.8702366,7.26,50.5,
1648582511.070726,7.26,50.75,
1648582511.2712405,7.26,50.5,
1648582511.471807,7.26,50.25,
1648582511.672333,7.26,50.25,
1648582511.8728487,7.584,50.25,
1648582512.073429,7.584,50.25,
1648582512.2739887,7.584,50.25,
1648582512.4747295,7.584,50.5,
1648582512.6752884,7.584,50.75,
1648582512.875787,7.683,51.25,
1648582513.0764012,7.683,51.25,
1648582513.2769077,7.683,51.0,
1648582513.4773982,7.683,50.75,
1648582513.6779032,7.683,51.0,
1648582513.8784103,7.439,51.75,
1648582514.0789213,7.439,51.25,
1648582514.279407,7.439,51.0,
1648582514.4798968,7.439,51.0,
1648582514.6803875,7.439,51.0,
1648582514.8808265,7.538,52.0,
1648582515.0811882,7.538,51.5,
1648582515.2815588,7.538,51.25,
1648582515.481886,7.538,51.5,
1648582515.6822493,7.538,52.25,
1648582515.8826783,7.596,51.5,
1648582516.0830636,7.596,51.5,
1648582516.2833924,7.596,51.75,
1648582516.4837353,7.596,52.25,
1648582516.6840596,7.596,51.75,
1648582516.8844078,7.538,51.5,
1648582517.084798,7.538,51.75,
1648582517.2851455,7.538,52.0,
1648582517.4854462,7.538,52.5,
1648582517.6857982,7.76,51.75,
1648582517.8861353,7.76,51.75,
1648582518.0865219,7.76,52.0,
1648582518.2867942,7.76,52.5,
1648582518.4872792,7.76,52.0,
1648582518.6877623,7.645,52.0,
1648582518.8884687,7.645,52.0,
1648582519.088948,7.645,51.75,
1648582519.2894542,7.645,52.25,
1648582519.489942,7.645,52.25,
1648582519.6904378,7.645,52.0,
1648582519.8909454,7.668,52.0,
1648582520.0914414,7.668,52.75,
1648582520.2919397,7.668,52.5,
1648582520.4924421,7.668,52.0,
1648582520.692941,7.668,51.75,
1648582520.8934581,7.355,52.0,
1648582521.093945,7.355,52.25,
1648582521.2944627,7.355,51.25,
1648582521.4949462,7.355,52.25,
1648582521.6954424,7.412,52.0,
1648582521.895955,7.412,52.0,
1648582522.0975935,7.412,52.25,
1648582522.2979183,7.412,53.25,
1648582522.4982533,7.412,52.5,
1648582522.698564,7.412,52.25,
1648582522.8989248,7.412,52.5,
1648582523.0992234,7.786,53.0,
1648582523.2995317,7.786,52.75,
1648582523.4998555,7.786,52.5,
1648582523.7002342,7.786,52.75,
1648582523.9005847,7.687,52.75,
1648582524.1009228,7.687,53.0,
1648582524.3012712,7.687,52.75,
1648582524.5017319,7.687,52.75,
1648582524.702233,7.687,52.75,
1648582524.9027684,7.676,53.25,
1648582525.103282,7.676,52.5,
1648582525.3037786,7.676,52.75,
1648582525.5042725,7.676,52.75,
1648582525.7047718,7.676,53.0,
1648582525.9052758,7.634,53.25,
1648582526.1057746,7.634,52.75,
1648582526.3062654,7.634,52.75,
1648582526.50678,7.634,52.75,
1648582526.7072558,7.634,53.75,
1648582526.9086409,7.603,53.0,
1648582527.1089776,7.603,52.75,
1648582527.3093848,7.603,53.0,
1648582527.5096958,7.603,53.25,
1648582527.710001,7.603,53.25,
1648582527.9103487,7.676,53.0,
1648582528.1107492,7.676,53.0,
1648582528.3111317,7.676,52.75,
1648582528.5114381,7.676,53.5,
1648582528.7117584,7.676,53.25,
1648582528.9120948,7.58,53.25,
1648582529.1125402,7.58,52.75,
1648582529.3130279,7.58,53.5,
1648582529.5135183,7.58,53.5,
1648582529.71401,7.58,53.0,
1648582529.9145305,7.584,53.0,
1648582530.1150112,7.584,53.0,
1648582530.3154995,7.584,53.75,
1648582530.515978,7.584,53.0,
1648582530.71646,7.584,53.0,
1648582530.917006,7.584,53.0,
1648582531.1174972,7.584,54.0,
1648582531.3179944,7.764,53.5,
1648582531.5184867,7.764,53.0,
1648582531.7196364,7.764,53.0,
1648582531.9200635,7.764,53.0,
1648582532.1203659,7.764,53.0,
1648582532.3206823,7.764,53.5,
1648582532.5209973,7.764,53.25,
1648582532.721322,7.764,53.0,
1648582532.9217215,7.764,53.25,
1648582533.12203,7.764,54.0,
1648582533.322388,7.764,53.5,
1648582533.5227268,7.764,53.0,
1648582533.7230778,7.764,53.25,
1648582533.9233763,7.764,52.75,
1648582534.1237066,7.764,54.5,
1648582534.324018,7.764,53.0,
1648582534.5243175,7.764,53.25,
1648582534.7246945,7.764,53.25,
1648582534.925094,7.493,53.5,
1648582535.1254313,7.493,54.0,
1648582535.3257525,7.493,53.75,
1648582535.526067,7.493,53.25,
1648582535.726465,7.493,53.75,
1648582535.9267368,7.68,53.75,
1648582536.1270401,7.68,54.0,
1648582536.3273494,7.68,54.0,
1648582536.5276887,7.68,53.75,
1648582536.7280567,7.68,53.75,
1648582536.9284246,7.68,54.0,
1648582537.1287317,7.68,53.75,
1648582537.3290484,7.68,53.75,
1648582537.529367,7.68,53.5,
1648582537.729746,7.68,53.75,
1648582537.9302082,7.672,54.5,
1648582538.130674,7.672,54.0,
1648582538.330979,7.672,53.5,
1648582538.534781,7.672,53.5,
1648582538.7352817,7.672,54.0,
1648582538.9357598,7.672,54.0,
1648582539.1360936,7.496,53.75,
1648582539.3385136,7.496,53.25,
1648582539.5392094,7.496,53.5,
1648582539.7396286,7.168,54.0,
1648582539.940141,7.168,54.25,
1648582540.1406257,7.168,53.75,
1648582540.341116,7.168,53.75,
1648582540.541602,7.168,53.75,
1648582540.7420874,7.168,54.5,
1648582540.9427257,7.641,53.75,
1648582541.1431947,7.641,53.75,
1648582541.3436787,7.641,54.0,
1648582541.5441701,7.641,54.25,
1648582541.7446792,7.622,54.0,
1648582541.9451854,7.622,53.5,
1648582542.1456714,7.622,53.75,
1648582542.3461647,7.622,53.75,
1648582542.5467968,7.622,54.5,
1648582542.7472785,7.622,54.0,
1648582542.9477894,7.817,53.75,
1648582543.14826,7.817,53.75,
1648582543.3487532,7.817,54.25,
1648582543.5492554,7.817,54.5,
1648582543.7497554,7.702,53.75,
1648582543.9502282,7.702,54.0,
1648582544.1507213,7.702,54.0,
1648582544.3512077,7.702,55.0,
1648582544.5517068,7.702,54.0,
1648582544.7521918,7.702,54.0,
1648582544.9526672,7.691,54.0,
1648582545.152988,7.691,54.25,
1648582545.3533442,7.691,54.25,
1648582545.5536866,7.691,54.0,
1648582545.7541425,7.691,54.0,
1648582545.9547565,7.691,55.0,
1648582546.1552377,7.691,54.5,
1648582546.35572,7.691,54.25,
1648582546.5562124,7.691,54.25,
1648582546.756708,7.691,54.75,
1648582546.9571946,7.691,54.5,
1648582547.1576748,7.672,54.0,
1648582547.3581736,7.672,54.0,
1648582547.5587633,7.672,53.75,
1648582547.759261,7.672,54.75,
1648582547.9597723,7.622,54.0,
1648582548.1602578,7.622,54.0,
1648582548.362954,7.622,54.0,
1648582548.5636823,7.622,54.0,
1648582548.7641013,7.584,54.5,
1648582548.9646351,7.584,54.0,
1648582549.1651177,7.584,53.75,
1648582549.3668754,7.584,54.5,
1648582549.567668,7.584,55.0,
1648582549.7682076,7.527,54.25,
1648582549.9686093,7.527,54.25,
1648582550.168976,7.527,54.25,
1648582550.3693035,7.527,54.25,
1648582550.5696037,7.527,55.25,
1648582550.7699165,7.752,54.5,
1648582550.9702508,7.752,54.25,
1648582551.1707125,7.752,54.25,
1648582551.3710341,7.752,54.0,
1648582551.571372,7.752,54.75,
1648582551.7716808,7.638,54.25,
1648582551.972037,7.638,54.25,
1648582552.1724226,7.638,54.5,
1648582552.3727567,7.638,55.0,
1648582552.5730832,7.638,54.75,
1648582552.7734349,7.638,54.5,
1648582552.973823,7.615,54.5,
1648582553.174162,7.615,54.25,
1648582553.3744683,7.615,55.25,
1648582553.574718,7.615,54.75,
1648582553.775077,7.615,54.25,
1648582553.97545,7.615,54.75,
1648582554.1757922,7.615,55.5,
1648582554.376102,7.565,54.5,
1648582554.5764825,7.565,54.5,
1648582554.7769096,7.565,54.75,
1648582554.9773297,7.466,55.0,
1648582555.1778162,7.466,54.75,
1648582555.3783224,7.466,54.5,
1648582555.5788097,7.466,54.75,
1648582555.7793427,7.573,54.75,
1648582555.9798265,7.573,54.75,
1648582556.1803102,7.573,54.25,
1648582556.3807945,7.573,54.75,
1648582556.581298,7.573,55.25,
1648582556.781722,7.573,55.0,
1648582556.982081,7.683,54.5,
1648582557.1824327,7.683,54.5,
1648582557.3827636,7.683,54.25,
1648582557.5831,7.683,54.75,
1648582557.7834399,7.676,54.5,
1648582557.9837813,7.676,54.25,
1648582558.1841834,7.676,54.5,
1648582558.3844802,7.676,55.0,
1648582558.5847824,7.676,55.0,
1648582558.7851248,7.672,54.75,
1648582558.9855225,7.672,54.75,
1648582559.1858268,7.672,54.75,
1648582559.3861558,7.672,55.75,
1648582559.5864835,7.672,54.75,
1648582559.7868109,7.699,54.75,
1648582559.9871826,7.699,54.75,
1648582560.1875138,7.699,54.75,
1648582560.387813,7.699,55.25,
1648582560.5881472,7.699,54.75,
1648582560.7884967,7.641,54.75,
1648582560.9888635,7.641,54.75,
1648582561.1891541,7.641,54.75,
1648582561.3894994,7.641,55.5,
1648582561.589796,7.641,54.75,
1648582561.790159,7.611,54.75,
1648582561.990522,7.611,54.75,
1648582562.1908865,7.611,55.0,
1648582562.391307,7.611,55.5,
1648582562.591616,7.611,54.75,
1648582562.79195,7.603,54.5,
1648582562.9923046,7.603,54.75,
1648582563.1927605,7.603,55.0,
