time_stamp, total_power, cpu_temp,
1648575085.7922513,0.0,38.628,
1648575085.9926007,0.0,39.704,
1648575086.19289,0.0,39.704,
1648575086.393168,0.0,39.704,
1648575086.5934422,4.019,39.704,
1648575086.793744,4.019,38.628,
1648575086.994047,4.019,39.166,
1648575087.1943474,4.019,39.704,
1648575087.3946462,4.019,38.628,
1648575087.5949237,3.916,39.704,
1648575087.7951968,3.916,39.704,
1648575087.9955518,3.916,39.704,
1648575088.1958475,3.916,39.704,
1648575088.3961282,3.916,39.704,
1648575088.5964534,4.573,39.704,
1648575088.796743,4.573,39.704,
1648575088.9970386,4.573,40.242,
1648575089.197337,4.573,40.78,
1648575089.3976161,4.573,40.78,
1648575089.598009,5.103,40.78,
1648575089.7984438,5.103,40.242,
1648575089.9987454,5.103,41.318,
1648575090.199076,5.103,40.78,
1648575090.399377,5.103,40.242,
1648575090.5997388,4.172,40.78,
1648575090.8001046,4.172,40.78,
1648575091.0004375,4.172,41.318,
1648575091.2007647,4.172,40.78,
1648575091.4010928,4.172,40.78,
1648575091.6014197,5.031,41.318,
1648575091.8017416,5.031,41.856,
1648575092.0020728,5.031,41.318,
1648575092.2023554,5.031,41.856,
1648575092.4026453,5.031,40.78,
1648575092.6029341,4.973,41.856,
1648575092.803232,4.973,41.318,
1648575093.0035362,4.973,41.318,
1648575093.2038326,4.973,40.78,
1648575093.4041424,4.973,41.856,
1648575093.6044385,4.962,41.856,
1648575093.8047693,4.962,41.856,
1648575094.005137,4.962,42.394,
1648575094.2054734,4.962,41.856,
1648575094.4058466,4.962,42.394,
1648575094.6062338,5.019,42.932,
1648575094.8067884,5.019,41.856,
1648575095.007083,5.019,42.394,
1648575095.2073708,5.019,41.856,
1648575095.407704,5.019,42.932,
1648575095.6080222,5.019,42.394,
1648575095.8083365,5.012,41.856,
1648575096.0086508,5.012,42.394,
1648575096.2090309,5.012,42.394,
1648575096.409344,5.012,42.394,
1648575096.6096573,5.012,42.394,
1648575096.8100183,4.989,42.932,
1648575097.0103307,4.989,42.394,
1648575097.2106407,4.989,42.932,
1648575097.410919,4.989,42.932,
1648575097.611209,4.966,42.932,
1648575097.8115525,4.966,42.394,
1648575098.0118487,4.966,42.394,
1648575098.212136,4.966,42.394,
1648575098.4125152,4.966,42.932,
1648575098.6128733,5.061,42.932,
1648575098.8132164,5.061,42.932,
1648575099.013576,5.061,42.932,
1648575099.2138915,5.061,42.932,
1648575099.4141972,5.061,42.932,
1648575099.6144934,4.962,42.932,
1648575099.8147986,4.962,42.932,
1648575100.015118,4.962,42.932,
1648575100.215414,4.962,42.932,
1648575100.4157465,4.962,43.47,
1648575100.6160822,5.05,43.47,
1648575100.8164244,5.05,42.932,
1648575101.0167017,5.05,42.932,
1648575101.2170417,5.05,42.932,
1648575101.4173944,5.05,42.932,
1648575101.6177447,4.996,42.932,
1648575101.8180513,4.996,42.932,
1648575102.01836,4.996,43.47,
1648575102.2186708,4.996,42.932,
1648575102.4190083,4.996,43.47,
1648575102.6193657,5.05,42.932,
1648575102.8196485,5.05,42.932,
1648575103.0199482,5.05,42.932,
1648575103.2202296,5.05,42.932,
1648575103.4205813,5.05,42.932,
1648575103.6209254,5.046,42.932,
1648575103.8212416,5.046,42.932,
1648575104.021523,5.046,43.47,
1648575104.2219253,5.046,43.47,
1648575104.422294,5.046,42.932,
1648575104.622616,5.008,42.932,
1648575104.822936,5.008,42.394,
1648575105.0232472,5.008,42.394,
1648575105.2235367,5.008,42.932,
1648575105.4238963,5.008,43.47,
1648575105.6241755,5.008,42.932,
1648575105.8244832,5.061,42.932,
1648575106.0248258,5.061,43.47,
1648575106.2251093,5.061,43.47,
1648575106.425484,5.061,43.47,
1648575106.625908,5.061,43.47,
1648575106.826184,5.031,44.008,
1648575107.026501,5.031,43.47,
1648575107.226793,5.031,43.47,
1648575107.4270768,5.031,44.008,
1648575107.6274178,5.069,42.932,
1648575107.8277686,5.069,44.008,
1648575108.0280523,5.069,42.932,
1648575108.2284205,5.069,44.008,
1648575108.4287205,5.069,43.47,
1648575108.6290338,5.012,43.47,
1648575108.8293202,5.012,43.47,
1648575109.0296168,5.012,43.47,
1648575109.2299364,5.012,43.47,
1648575109.4302561,5.012,44.008,
1648575109.6305847,5.172,43.47,
1648575109.8308864,5.172,44.008,
1648575110.0312302,5.172,44.008,
1648575110.2315335,5.172,44.008,
1648575110.4318228,5.172,44.008,
1648575110.6321588,5.172,44.008,
1648575110.8325143,5.065,43.47,
1648575111.0328233,5.065,43.47,
1648575111.2331746,5.065,44.008,
1648575111.433511,5.065,44.008,
1648575111.633863,5.023,44.008,
1648575111.8341744,5.023,44.008,
1648575112.034477,5.023,44.008,
1648575112.234811,5.023,43.47,
1648575112.435144,5.023,44.008,
1648575112.635486,5.023,44.008,
1648575112.8357842,5.023,44.008,
1648575113.0361295,5.023,43.47,
1648575113.236501,5.023,44.008,
1648575113.4368374,5.023,42.932,
1648575113.637215,5.023,44.008,
1648575113.8375292,5.015,43.47,
1648575114.0378392,5.015,43.47,
1648575114.2381382,5.015,44.008,
1648575114.4384475,5.015,44.008,
1648575114.6387632,5.015,44.008,
1648575114.839123,5.084,44.008,
1648575115.039422,5.084,43.47,
1648575115.2398295,5.084,44.008,
1648575115.4403214,5.084,43.47,
1648575115.640644,5.073,44.008,
1648575115.84094,5.073,43.47,
1648575116.0412676,5.073,44.008,
1648575116.241562,5.073,44.008,
