time_stamp, total_power, cpu_temp,
1648520059.5333123,0.0,42.394,
1648520059.7336018,0.0,41.856,
1648520059.9338818,4.054,41.856,
1648520060.1341646,4.054,42.394,
1648520060.3344386,4.054,42.394,
1648520060.5347228,4.054,41.856,
1648520060.734996,4.054,42.932,
1648520060.9352734,3.985,41.318,
1648520061.1355789,3.985,42.394,
1648520061.335929,3.985,42.394,
1648520061.5362792,3.985,42.394,
1648520061.7366068,3.985,42.394,
1648520061.936897,4.649,42.932,
1648520062.137178,4.649,42.932,
1648520062.337587,4.649,43.47,
1648520062.537921,4.649,42.932,
1648520062.7384267,4.649,42.932,
1648520062.938748,4.512,42.932,
1648520063.139117,4.512,42.932,
1648520063.3395255,4.512,42.932,
1648520063.5399086,4.512,42.932,
1648520063.7402763,4.512,42.932,
1648520063.9406714,4.515,42.932,
1648520064.1410089,4.515,42.932,
1648520064.3413754,4.515,42.932,
1648520064.5417209,4.515,42.932,
1648520064.7421398,4.515,44.008,
1648520064.9424715,5.309,44.008,
1648520065.1428132,5.309,43.47,
1648520065.3431401,5.309,44.008,
1648520065.5434434,5.309,44.008,
1648520065.7437856,5.309,44.008,
1648520065.9440653,5.309,43.47,
1648520066.1444073,5.298,44.008,
1648520066.3447382,5.298,44.008,
1648520066.545084,5.298,44.546,
1648520066.745478,5.298,44.008,
1648520066.9459226,5.16,44.008,
1648520067.1462324,5.16,44.546,
1648520067.3465476,5.16,44.008,
1648520067.5468748,5.16,44.008,
1648520067.7471824,5.16,44.546,
1648520067.9475074,5.221,44.008,
1648520068.1478372,5.221,44.546,
1648520068.348207,5.221,44.546,
1648520068.548566,5.221,45.084,
1648520068.748902,5.221,44.546,
1648520068.9492207,5.241,45.084,
1648520069.1495042,5.241,44.546,
1648520069.3497944,5.241,44.546,
1648520069.5501356,5.241,45.084,
1648520069.750497,5.241,44.546,
1648520069.950803,5.313,45.084,
1648520070.1511385,5.313,44.546,
1648520070.3514657,5.313,45.084,
1648520070.5518265,5.313,45.084,
1648520070.75216,5.313,45.084,
1648520070.9524949,5.386,45.084,
1648520071.1528394,5.386,45.084,
1648520071.3531637,5.386,45.084,
1648520071.5536425,5.386,45.084,
1648520071.7539673,5.386,45.084,
1648520071.9542685,5.359,45.084,
1648520072.1545494,5.359,44.546,
1648520072.3548725,5.359,45.084,
1648520072.5551853,5.359,45.084,
1648520072.7554832,5.359,45.084,
1648520072.9558809,5.126,45.084,
1648520073.1562204,5.126,45.084,
1648520073.3566456,5.126,45.084,
1648520073.556972,5.126,45.084,
1648520073.7572913,5.126,45.084,
1648520073.957628,5.0,45.084,
1648520074.1579692,5.0,45.084,
1648520074.3582964,5.0,45.084,
1648520074.5586348,5.0,45.084,
1648520074.7590182,5.0,45.084,
1648520074.95935,5.283,45.084,
1648520075.1596854,5.283,45.084,
1648520075.3599942,5.283,45.084,
1648520075.5602903,5.283,45.084,
1648520075.7606084,5.283,45.084,
1648520075.9609299,5.283,45.084,
1648520076.1613243,5.302,45.622,
1648520076.3616376,5.302,45.622,
1648520076.5619996,5.302,45.622,
1648520076.7623193,5.302,45.622,
1648520076.962636,5.302,45.084,
1648520077.162949,5.351,45.084,
1648520077.363259,5.351,45.084,
1648520077.5635972,5.351,45.084,
1648520077.7639227,5.351,45.622,
1648520077.9643128,5.347,45.084,
1648520078.164685,5.347,45.084,
1648520078.3650134,5.347,46.16,
1648520078.5653155,5.347,45.084,
1648520078.7656574,5.347,45.084,
1648520078.9659731,5.214,46.16,
1648520079.1662707,5.214,45.084,
1648520079.3666441,5.214,46.16,
1648520079.567045,5.214,46.16,
1648520079.7673972,5.214,45.622,
1648520079.967741,5.168,45.084,
1648520080.1681223,5.168,45.622,
1648520080.3684597,5.168,45.622,
1648520080.5687637,5.168,45.622,
1648520080.7690785,5.168,45.622,
1648520080.9693391,5.199,45.084,
1648520081.1696393,5.199,46.16,
1648520081.3699646,5.199,45.622,
1648520081.5703907,5.199,45.622,
1648520081.770738,5.199,45.084,
1648520081.9710507,5.199,45.622,
1648520082.1713593,5.199,45.622,
1648520082.371692,5.199,45.622,
1648520082.5720809,5.199,45.622,
1648520082.7723992,5.199,45.084,
1648520082.9727144,5.199,45.622,
1648520083.1730406,5.199,45.084,
1648520083.3733582,5.199,45.622,
1648520083.5736537,5.199,46.16,
1648520083.773967,5.37,46.16,
1648520083.974394,5.405,45.622,
1648520084.1747575,5.405,45.622,
1648520084.3751233,5.405,46.16,
1648520084.5754688,5.405,46.16,
1648520084.7758176,5.405,46.16,
1648520084.9761376,5.405,45.622,
1648520085.1764674,5.405,46.16,
1648520085.3767915,5.405,45.622,
1648520085.5771198,5.405,45.622,
1648520085.7774675,5.405,46.16,
1648520085.977789,5.405,46.16,
1648520086.178184,5.26,45.084,
1648520086.37849,5.26,46.16,
1648520086.5788007,5.26,45.622,
1648520086.7791035,5.26,46.16,
1648520086.9794047,5.26,45.084,
1648520087.1797287,5.26,46.16,
1648520087.380046,5.26,46.16,
1648520087.5803607,5.26,46.16,
1648520087.7806933,5.309,46.16,
1648520087.9810374,5.309,45.622,
1648520088.1813369,5.275,46.16,
1648520088.3816981,5.275,46.16,
1648520088.5820737,5.275,45.622,
1648520088.782396,5.275,45.622,
1648520088.9827116,5.275,45.622,
1648520089.1830573,5.309,45.084,
1648520089.3834052,5.309,46.16,
1648520089.5837333,5.309,45.622,
1648520089.7840786,5.309,45.622,
1648520089.984436,5.267,46.16,
1648520090.1847665,5.267,45.622,
